positnSn,positnNm,positnRgnNm,positnLotnoAddr,positnRdnmAddr,positnPstnAddExpln,positnPstnLat,positnPstnLot,positnIntdcCn,positnCnvncFcltSrvcExpln,prkMthdExpln,monSalsHrExplnCn,tuesSalsHrExplnCn,wedSalsHrExplnCn,thurSalsHrExplnCn,friSalsHrExplnCn,satSalsHrExplnCn,sunSalsHrExplnCn,lhldySalsHrExplnCn,lhldyDyoffCn,tmprLhldyCn,dyoffBgndeCn,dyoffEnddtCn,dyoffRsnExpln,bscTelnoCn,rprsTelnoCn,telnoExpln,indivTelnoCn,lnkgHmpgUrlAddr,indivRelSrchListCn,comRelSrwrdListCn,clctItemCn,etcMttrCn
148,송도4동 행정복지센터,연수구,인천광역시 연수구 송도동 104-2,연수구 컨벤시아대로252번길 79,,37.388186,126.6298477,"연수구 자원순환가게는 가정에서 발생한 분리배출 표시가 있는 재활용품을 깨끗한 상태로 가져오면 품목별 무게를 측정하여 보상해주는 가게입니다.
모아진 재활용품은 113% 재활용되고 있습니다.",,행정복지센터 주차가능,09:00 ~ 12:00,09:00 ~ 18:00,09:00 ~ 18:00,09:00 ~ 18:00,09:00 ~ 18:00,전체휴무,전체휴무,전체휴무,전체휴무,전체휴무,,,,연수구 청소행정과(032-749-7887),032-749-6867,송도4동 행정복지센터,송도4동 행정복지센터 032-749-6867,,송도4동 행정복지센터,"연수구자원순환가게, 인천자원순환가게, 재활용품 보상, 플라스틱,캔,종이팩,분리배출,자원순환,재활용","(플라스틱류)
무색페트병
유색페트병
(캔류((음료))
알루미늄
철
종이팩
폐건전지","품목 및 단가 변경 가능
근로자의 날 등 공휴일(임시공휴일 포함)은 휴무"
149,송도2동 행정복지센터,연수구,인천광역시 연수구 송도동 16-3,연수구 신송로 248,,37.4032535,126.6416259,"연수구 자원순환가게는 가정에서 발생한 분리배출 표시가 있는 재활용품을 깨끗한 상태로 가져오면 품목별 무게를 측정하여 보상해주는 가게입니다.
모아진 재활용품은 111% 재활용되고 있습니다.",,행정복지센터 주차가능,09:00 ~ 12:00,09:00 ~ 18:00,09:00 ~ 18:00,09:00 ~ 18:00,09:00 ~ 18:00,전체휴무,전체휴무,전체휴무,전체휴무,전체휴무,,,,연수구 청소행정과(032-749-7885),032-749-6573,송도2동 행정복지센터,송도2동 행정복지센터 032-749-6573,,송도2동 행정복지센터,"연수구자원순환가게, 인천자원순환가게, 재활용품 보상, 플라스틱,캔,종이팩,분리배출,자원순환,재활용","(플라스틱류)
무색페트병
유색페트병
(캔류((음료))
알루미늄
철
종이팩
폐건전지","품목 및 단가 변경 가능
근로자의 날 등 공휴일(임시공휴일 포함)은 휴무"
150,송도3동 행정복지센터,연수구,인천광역시 연수구 송도동 194-2,연수구 송도교육로 63,,37.3714223,126.6599681,"연수구 자원순환가게는 가정에서 발생한 분리배출 표시가 있는 재활용품을 깨끗한 상태로 가져오면 품목별 무게를 측정하여 보상해주는 가게입니다.
모아진 재활용품은 112% 재활용되고 있습니다.",,행정복지센터 주차가능,09:00 ~ 12:00,09:00 ~ 18:00,09:00 ~ 18:00,09:00 ~ 18:00,09:00 ~ 18:00,전체휴무,전체휴무,전체휴무,전체휴무,전체휴무,,,,연수구 청소행정과(032-749-7886),032-749-6773,송도3동 행정복지센터,송도3동 행정복지센터 032-749-6773,,송도3동 행정복지센터,"연수구자원순환가게, 인천자원순환가게, 재활용품 보상, 플라스틱,캔,종이팩,분리배출,자원순환,재활용","(플라스틱류)
무색페트병
유색페트병
(캔류((음료))
알루미늄
철
종이팩
폐건전지","품목 및 단가 변경 가능
근로자의 날 등 공휴일(임시공휴일 포함)은 휴무"
151,송도5동 행정복지센터,연수구,인천광역시 연수구 송도동 313-7,연수구 센트럴로 418,,37.4108689,126.628792,"연수구 자원순환가게는 가정에서 발생한 분리배출 표시가 있는 재활용품을 깨끗한 상태로 가져오면 품목별 무게를 측정하여 보상해주는 가게입니다.
모아진 재활용품은 114% 재활용되고 있습니다.",,행정복지센터 주차가능,09:00 ~ 12:00,09:00 ~ 18:00,09:00 ~ 18:00,09:00 ~ 18:00,09:00 ~ 18:00,전체휴무,전체휴무,전체휴무,전체휴무,전체휴무,,,,연수구 청소행정과(032-749-7888),032-749-6976,송도5동 행정복지센터,송도5동 행정복지센터 032-749-6976,,송도5동 행정복지센터,"연수구자원순환가게, 인천자원순환가게, 재활용품 보상, 플라스틱,캔,종이팩,분리배출,자원순환,재활용","(플라스틱류)
무색페트병
유색페트병
(캔류((음료))
알루미늄
철
종이팩
폐건전지","품목 및 단가 변경 가능
근로자의 날 등 공휴일(임시공휴일 포함)은 휴무"
152,송도1동 행정복지센터,연수구,인천광역시 연수구 송도동 3-33,연수구 하모니로35번길 8,,37.3910653,126.6520813,"연수구 자원순환가게는 가정에서 발생한 분리배출 표시가 있는 재활용품을 깨끗한 상태로 가져오면 품목별 무게를 측정하여 보상해주는 가게입니다.
모아진 재활용품은 110% 재활용되고 있습니다.",,행정복지센터 주차가능,09:00 ~ 12:00,09:00 ~ 18:00,09:00 ~ 18:00,09:00 ~ 18:00,09:00 ~ 18:00,전체휴무,전체휴무,전체휴무,전체휴무,전체휴무,,,,연수구 청소행정과(032-749-7884),032-749-6522,송도1동 행정복지센터,송도1동 행정복지센터 032-749-6522,,송도1동 행정복지센터,"연수구자원순환가게, 인천자원순환가게, 재활용품 보상, 플라스틱,캔,종이팩,분리배출,자원순환,재활용","(플라스틱류)
무색페트병
유색페트병
(캔류((음료))
알루미늄
철
종이팩
폐건전지","품목 및 단가 변경 가능
근로자의 날 등 공휴일(임시공휴일 포함)은 휴무"
153,연수3동 행정복지센터,연수구,인천광역시 연수구 연수동 533-2,연수구 원인재로 283,,37.4193399,126.6920661,"연수구 자원순환가게는 가정에서 발생한 분리배출 표시가 있는 재활용품을 깨끗한 상태로 가져오면 품목별 무게를 측정하여 보상해주는 가게입니다.
모아진 재활용품은 105% 재활용되고 있습니다.",,행정복지센터 주차가능,09:00 ~ 12:00,09:00 ~ 18:00,09:00 ~ 18:00,09:00 ~ 18:00,09:00 ~ 18:00,전체휴무,전체휴무,전체휴무,전체휴무,전체휴무,,,,연수구 청소행정과(032-749-7879),032-749-6274,연수3동 행정복지센터,연수3동 행정복지센터 032-749-6274,,연수3동 행정복지센터,"연수구자원순환가게, 인천자원순환가게, 재활용품 보상, 플라스틱,캔,종이팩,분리배출,자원순환,재활용","(플라스틱류)
무색페트병
유색페트병
(캔류((음료))
알루미늄
철
종이팩
폐건전지","품목 및 단가 변경 가능
근로자의 날 등 공휴일(임시공휴일 포함)은 휴무"
154,연수1동 행정복지센터,연수구,인천광역시 연수구 연수동 535-3,연수구 함박뫼로 127,,37.4223745,126.6814577,"연수구 자원순환가게는 가정에서 발생한 분리배출 표시가 있는 재활용품을 깨끗한 상태로 가져오면 품목별 무게를 측정하여 보상해주는 가게입니다.
모아진 재활용품은 103% 재활용되고 있습니다.",,행정복지센터 주차가능,09:00 ~ 12:00,09:00 ~ 18:00,09:00 ~ 18:00,09:00 ~ 18:00,09:00 ~ 18:00,전체휴무,전체휴무,전체휴무,전체휴무,전체휴무,,,,연수구 청소행정과(032-749-7877),032-749-6174,연수1동 행정복지센터,연수1동 행정복지센터 032-749-6174,,연수1동 행정복지센터,"연수구자원순환가게, 인천자원순환가게, 재활용품 보상, 플라스틱,캔,종이팩,분리배출,자원순환,재활용","(플라스틱류)
무색페트병
유색페트병
(캔류((음료))
알루미늄
철
종이팩
폐건전지","품목 및 단가 변경 가능
근로자의 날 등 공휴일(임시공휴일 포함)은 휴무"
155,연수2동 행정복지센터,연수구,인천광역시 연수구 연수동 634-4,연수구 원인재로 158,,37.411698,126.6817974,"연수구 자원순환가게는 가정에서 발생한 분리배출 표시가 있는 재활용품을 깨끗한 상태로 가져오면 품목별 무게를 측정하여 보상해주는 가게입니다.
모아진 재활용품은 104% 재활용되고 있습니다.",,행정복지센터 주차가능,09:00 ~ 12:00,09:00 ~ 18:00,09:00 ~ 18:00,09:00 ~ 18:00,09:00 ~ 18:00,전체휴무,전체휴무,전체휴무,전체휴무,전체휴무,,,,연수구 청소행정과(032-749-7878),032-749-6222,연수2동 행정복지센터,연수2동 행정복지센터 032-749-6222,,연수2동 행정복지센터,"연수구자원순환가게, 인천자원순환가게, 재활용품 보상, 플라스틱,캔,종이팩,분리배출,자원순환,재활용","(플라스틱류)
무색페트병
유색페트병
(캔류((음료))
알루미늄
철
종이팩
폐건전지","품목 및 단가 변경 가능
근로자의 날 등 공휴일(임시공휴일 포함)은 휴무"
156,옥련2동 행정복지센터,연수구,인천광역시 연수구 옥련동 238,연수구 옥련로 82,,37.4261758,126.6483915,"연수구 자원순환가게는 가정에서 발생한 분리배출 표시가 있는 재활용품을 깨끗한 상태로 가져오면 품목별 무게를 측정하여 보상해주는 가게입니다.
모아진 재활용품은 101% 재활용되고 있습니다.",,행정복지센터 주차가능,09:00 ~ 12:00,09:00 ~ 18:00,09:00 ~ 18:00,09:00 ~ 18:00,09:00 ~ 18:00,전체휴무,전체휴무,전체휴무,전체휴무,전체휴무,,,,연수구 청소행정과(032-749-7875),032-749-6063,옥련2동 행정복지센터,옥련2동 행정복지센터 032-749-6063,,옥련2동 행정복지센터,"연수구자원순환가게, 인천자원순환가게, 재활용품 보상, 플라스틱,캔,종이팩,분리배출,자원순환,재활용","(플라스틱류)
무색페트병
유색페트병
(캔류((음료))
알루미늄
철
종이팩
폐건전지","품목 및 단가 변경 가능
근로자의 날 등 공휴일(임시공휴일 포함)은 휴무"
157,옥련1동 행정복지센터,연수구,인천광역시 연수구 옥련동 643-1,연수구 비류대로186번길 14,,37.4273724,126.6550283,"연수구 자원순환가게는 가정에서 발생한 분리배출 표시가 있는 재활용품을 깨끗한 상태로 가져오면 품목별 무게를 측정하여 보상해주는 가게입니다.
모아진 재활용품은 100% 재활용되고 있습니다.",,행정복지센터 주차가능,09:00 ~ 12:00,09:00 ~ 18:00,09:00 ~ 18:00,09:00 ~ 18:00,09:00 ~ 18:00,전체휴무,전체휴무,전체휴무,전체휴무,전체휴무,,,,연수구 청소행정과(032-749-7874),032-749-6015,옥련1동 행정복지센터,옥련1동 행정복지센터 032-749-6015,,옥련1동 행정복지센터,"연수구자원순환가게, 인천자원순환가게, 재활용품 보상, 플라스틱,캔,종이팩,분리배출,자원순환,재활용","(플라스틱류)
무색페트병
유색페트병
(캔류((음료))
알루미늄
철
종이팩
폐건전지","품목 및 단가 변경 가능
근로자의 날 등 공휴일(임시공휴일 포함)은 휴무"
158,청학동 행정복지센터,연수구,인천광역시 연수구 청학동 170,연수구 비류대로 287,,37.4266924,126.6668929,"연수구 자원순환가게는 가정에서 발생한 분리배출 표시가 있는 재활용품을 깨끗한 상태로 가져오면 품목별 무게를 측정하여 보상해주는 가게입니다.
모아진 재활용품은 106% 재활용되고 있습니다.",,행정복지센터 주차가능,09:00 ~ 12:00,09:00 ~ 18:00,09:00 ~ 18:00,09:00 ~ 18:00,09:00 ~ 18:00,전체휴무,전체휴무,전체휴무,전체휴무,전체휴무,,,,연수구 청소행정과(032-749-7880),032-749-6345,청학동 행정복지센터,청학동 행정복지센터 032-749-6345,,청학동 행정복지센터,"연수구자원순환가게, 인천자원순환가게, 재활용품 보상, 플라스틱,캔,종이팩,분리배출,자원순환,재활용","(플라스틱류)
무색페트병
유색페트병
(캔류((음료))
알루미늄
철
종이팩
폐건전지","품목 및 단가 변경 가능
근로자의 날 등 공휴일(임시공휴일 포함)은 휴무"
159,개항동 행정복지센터,중구,인천광역시 중구 북성동2가 10-8,인천 중구 차이나타운로44번길 13-2,개항동 행정복지센터 입구 앞,37.4752791,126.6186045,,,개항동 행정복지센터,08시~22시,08시~22시,08시~22시,08시~22시,08시~22시,08시~22시,08시~22시,08시~22시,08시~22시,08시~22시,,,,,032-760-7217,중구 청소행정과,032-760-7217,,개항동 행정복지센터,"인천 중구 자원순환,재활용품 보상,투명페트병, 자원순환, 재활용, 순환경제",투명페트병,"품목 및 단가 변경 가능
근로자의 날 등 공휴일(임시공휴일 포함)은 휴무"
160,이마트 동인천점,중구,인천광역시 중구 신생동 38,인천 중구 인중로 134,이마트 동인천점 4층,37.4665883,126.6288313,,,"이마트 동인천점 주차장(30분 이내 무료, 30분 초과 시 유료)",10시~22시         (하절기(7~9월) 10시~23시),10시~22시         (하절기(7~9월) 10시~23시),10시~22시         (하절기(7~9월) 10시~23시),10시~22시         (하절기(7~9월) 10시~23시),10시~22시         (하절기(7~9월) 10시~23시),10시~22시         (하절기(7~9월) 10시~23시),10시~22시         (하절기(7~9월)    10시~23시),10시~22시         (하절기(7~9월)     10시~23시),10시~22시         (하절기(7~9월)     10시~23시),10시~22시         (하절기(7~9월)     10시~23시),,,,,032-760-7217,중구 청소행정과,032-760-7217,,이마트 동인천점,"인천 중구 자원순환,재활용품 보상,투명페트병, 자원순환, 재활용, 순환경제",투명페트병,"품목 및 단가 변경 가능
근로자의 날 등 공휴일(임시공휴일 포함)은 휴무"
161,영종동 행정복지센터,중구,인천광역시 중구 운남동 1511,인천 중구 운남서로 100,영종동 행정복지센터 재활용장,37.4938735,126.5314913,,,"영종동 행정복지센터(30분 이내 무료, 30분 초과 시 유료)",08시~22시,08시~22시,08시~22시,08시~22시,08시~22시,08시~22시,휴무,08시~22시,08시~22시,08시~22시,,,,,032-760-7697,중구 청소행정과,032-760-7697,,영종동 행정복지센터,"인천 중구 자원순환,재활용품 보상,투명페트병, 자원순환, 재활용, 순환경제",투명페트병,"품목 및 단가 변경 가능
근로자의 날 등 공휴일(임시공휴일 포함)은 휴무"
162,롯데마트 영종도점,중구,인천광역시 중구 운서동 2803-2,인천 중구 흰바위로 51,롯데마트 영종도점 5층,37.4926837,126.4912324,,,"롯데마트 영종도점(30분 이내 무료, 30분 초과 시 유료)",10시~22시         ,10시~22시         ,10시~22시         ,10시~22시         ,10시~22시         ,10시~22시         ,10시~22시         ,10시~22시         ,10시~22시         ,10시~22시         ,,,,,032-760-7697,중구 청소행정과,032-760-7697,,롯데마트 영종도점,"인천 중구 자원순환,재활용품 보상,투명페트병, 자원순환, 재활용, 순환경제",투명페트병,"품목 및 단가 변경 가능
근로자의 날 등 공휴일(임시공휴일 포함)은 휴무"
163,동인천동 행정복지센터,중구,인천광역시 중구 전동 2-1,인천 중구 참외전로72번길 25,동인천동 행정복지센터 입구 앞,37.4770759,126.62898,,,동인천동 행정복지센터,08시~22시,08시~22시,08시~22시,08시~22시,08시~22시,08시~22시,08시~22시,08시~22시,08시~22시,08시~22시,,,,,032-760-7217,중구 청소행정과,032-760-7217,,동인천동 행정복지센터,"인천 중구 자원순환,재활용품 보상,투명페트병, 자원순환, 재활용, 순환경제",투명페트병,"품목 및 단가 변경 가능
근로자의 날 등 공휴일(임시공휴일 포함)은 휴무"
164,영종 하늘체육공원,중구,인천광역시 중구 중산동 1878-3,인천 중구 하늘달빛로 108,영종 하늘체육공원 화장실 앞,37.4891949,126.5565555,,,"영종 하늘체육공원 주차장(1시간 이내 무료, 초과 30분당 300원)",08시~22시,08시~22시,08시~22시,08시~22시,08시~22시,08시~22시,휴무,08시~22시,08시~22시,08시~22시,,,,,032-760-7697,중구 청소행정과,032-760-7697,,영종 하늘체육공원,"인천 중구 자원순환,재활용품 보상,투명페트병, 자원순환, 재활용, 순환경제",투명페트병,"품목 및 단가 변경 가능
근로자의 날 등 공휴일(임시공휴일 포함)은 휴무"
165,영종2동 행정복지센터,중구,인천광역시 중구 중산동 1912-4,인천 중구 은하수로 160,영종2동 행정복지센터 자전거 거치대 앞,37.4992998,126.5687091,,,영종2동 행정복지센터,08시~22시,08시~22시,08시~22시,08시~22시,08시~22시,08시~22시,휴무,08시~22시,08시~22시,08시~22시,,,,,032-760-7697,중구 청소행정과,032-760-7697,,영종2동 행정복지센터,"인천 중구 자원순환,재활용품 보상,투명페트병, 자원순환, 재활용, 순환경제",투명페트병,"품목 및 단가 변경 가능
근로자의 날 등 공휴일(임시공휴일 포함)은 휴무"
166,국동임시별관,여수시,전라남도 여수시 국동 195,여수시 신월로 648,,34.7290194,127.7169043,"가정에서 나오는 깨끗한 재활용품을 가져오면 현금으로 전환할 수 있는 포인트를 드리는 여수 ""나눔행복"" 자원순환 가게입니다.
모인 자원은 106% 재활용을 목표로 하며,
기후위기 대응 및 순환경제(자원순환) 활성화에 기여합니다.","단체 이용 가능, 예약","공영주차장 이용가능
(무료 1시간)",휴무,휴무,휴무,"10:00~12:00
14:00~16:00
(매주 목요일)",휴무,휴무,휴무,휴무,전체휴무,전체휴무,,,,여수시 자원순환과(061-659-3845),061-659-3839,여수시 자원순환과,,,,"여수시 ""나눔 행복"" 자원순환가게 ,재활용품 보상,플라스틱,비닐,캔,분리배출,자원순환,순환경제,재활용","(플리스틱류)
무색페트병
유색PET
other
PE
PP
PS
(비닐류)
비닐
(캔류)
알루미늄
철캔
투명, 갈색,녹색병
(중고의류)
의류
외류 외(가방, 신발)
(종이류)
종이팩
서적
일반종이","품목 및 단가 변경 가능
근로자의 날 등 공휴일(임시공휴일 포함)은 휴무"
167,엑스포힐스테이트1단지 광장,여수시,전라남도 여수시 덕충동 2038,여수시 박람회길 61,,34.7529292,127.7415691,"가정에서 나오는 깨끗한 재활용품을 가져오면 현금으로 전환할 수 있는 포인트를 드리는 여수 ""나눔행복"" 자원순환 가게입니다.
모인 자원은 101% 재활용을 목표로 하며,
기후위기 대응 및 순환경제(자원순환) 활성화에 기여합니다.","단체 이용 가능, 예약, 대기공간",주차가능,"10:00~12:00
14:00~16:00
(1,3,5주)",휴무,휴무,휴무,휴무,휴무,휴무,휴무,전체휴무,전체휴무,,,,여수시 자원순환과(061-659-3840),061-659-3839,여수시 자원순환과,,,,"여수시 ""나눔 행복"" 자원순환가게 ,재활용품 보상,플라스틱,비닐,캔,분리배출,자원순환,순환경제,재활용","(플리스틱류)
무색페트병
유색PET
other
PE
PP
PS
(비닐류)
비닐
(캔류)
알루미늄
철캔
투명, 갈색,녹색병
(중고의류)
의류
외류 외(가방, 신발)
(종이류)
종이팩
서적
일반종이","품목 및 단가 변경 가능
근로자의 날 등 공휴일(임시공휴일 포함)은 휴무"
168,미평공원,여수시,전라남도 여수시 미평동 380 2,여수시 둔덕2길 6-11,,34.7680919,127.7031411,"가정에서 나오는 깨끗한 재활용품을 가져오면 현금으로 전환할 수 있는 포인트를 드리는 여수 ""나눔행복"" 자원순환 가게입니다.
모인 자원은 104% 재활용을 목표로 하며,
기후위기 대응 및 순환경제(자원순환) 활성화에 기여합니다.","단체 이용 가능, 예약",,휴무,휴무,"10:00~12:00
14:00~16:00
(2, 4주)",휴무,휴무,휴무,휴무,휴무,전체휴무,전체휴무,,,,여수시 자원순환과(061-659-3843),061-659-3839,여수시 자원순환과,,,,"여수시 ""나눔 행복"" 자원순환가게 ,재활용품 보상,플라스틱,비닐,캔,분리배출,자원순환,순환경제,재활용","(플리스틱류)
무색페트병
유색PET
other
PE
PP
PS
(비닐류)
비닐
(캔류)
알루미늄
철캔
투명, 갈색,녹색병
(중고의류)
의류
외류 외(가방, 신발)
(종이류)
종이팩
서적
일반종이","품목 및 단가 변경 가능
근로자의 날 등 공휴일(임시공휴일 포함)은 휴무"
169,죽림2공원(차동공원),여수시,전라남도 여수시 소라면 죽림리 1189,,,34.7648224,127.6371316,"가정에서 나오는 깨끗한 재활용품을 가져오면 현금으로 전환할 수 있는 포인트를 드리는 여수 ""나눔행복"" 자원순환 가게입니다.
모인 자원은 103% 재활용을 목표로 하며,
기후위기 대응 및 순환경제(자원순환) 활성화에 기여합니다.","단체 이용 가능, 예약","공영주차장 이용가능
(무료 1시간)",휴무,"10:00~12:00
14:00~16:00
(1,3,5주)",휴무,휴무,휴무,휴무,휴무,휴무,전체휴무,전체휴무,,,,여수시 자원순환과(061-659-3842),061-659-3839,여수시 자원순환과,,,,"여수시 ""나눔 행복"" 자원순환가게 ,재활용품 보상,플라스틱,비닐,캔,분리배출,자원순환,순환경제,재활용","(플리스틱류)
무색페트병
유색PET
other
PE
PP
PS
(비닐류)
비닐
(캔류)
알루미늄
철캔
투명, 갈색,녹색병
(중고의류)
의류
외류 외(가방, 신발)
(종이류)
종이팩
서적
일반종이","품목 및 단가 변경 가능
근로자의 날 등 공휴일(임시공휴일 포함)은 휴무"
170,미관관장,여수시,전라남도 여수시 여서동 222 1,여수시 문수로 124,,34.7555444,127.7086932,"가정에서 나오는 깨끗한 재활용품을 가져오면 현금으로 전환할 수 있는 포인트를 드리는 여수 ""나눔행복"" 자원순환 가게입니다.
모인 자원은 108% 재활용을 목표로 하며,
기후위기 대응 및 순환경제(자원순환) 활성화에 기여합니다.","단체 이용 가능, 예약","공영주차장 이용가능
(무료 1시간)",휴무,휴무,휴무,휴무,"10:00~12:00
14:00~16:00
(1,3,5주)",휴무,휴무,휴무,전체휴무,전체휴무,,,,여수시 자원순환과(061-659-3847),061-659-3839,여수시 자원순환과,,,,"여수시 ""나눔 행복"" 자원순환가게 ,재활용품 보상,플라스틱,비닐,캔,분리배출,자원순환,순환경제,재활용","(플리스틱류)
무색페트병
유색PET
other
PE
PP
PS
(비닐류)
비닐
(캔류)
알루미늄
철캔
투명, 갈색,녹색병
(중고의류)
의류
외류 외(가방, 신발)
(종이류)
종이팩
서적
일반종이","품목 및 단가 변경 가능
근로자의 날 등 공휴일(임시공휴일 포함)은 휴무"
171,해양공원,여수시,전라남도 여수시 종화동 526 7,여수시 이순신광장로 188-1,,34.7384024,127.7449138,"가정에서 나오는 깨끗한 재활용품을 가져오면 현금으로 전환할 수 있는 포인트를 드리는 여수 ""나눔행복"" 자원순환 가게입니다.
모인 자원은 107% 재활용을 목표로 하며,
기후위기 대응 및 순환경제(자원순환) 활성화에 기여합니다.","단체 이용 가능, 예약","공영주차장 이용가능
(무료 1시간)",휴무,휴무,휴무,휴무,"10:00~12:00
14:00~16:00
(2, 4주)",휴무,휴무,휴무,전체휴무,전체휴무,,,,여수시 자원순환과(061-659-3846),061-659-3839,여수시 자원순환과,,,,"여수시 ""나눔 행복"" 자원순환가게 ,재활용품 보상,플라스틱,비닐,캔,분리배출,자원순환,순환경제,재활용","(플리스틱류)
무색페트병
유색PET
other
PE
PP
PS
(비닐류)
비닐
(캔류)
알루미늄
철캔
투명, 갈색,녹색병
(중고의류)
의류
외류 외(가방, 신발)
(종이류)
종이팩
서적
일반종이","품목 및 단가 변경 가능
근로자의 날 등 공휴일(임시공휴일 포함)은 휴무"
172,여수시청,여수시,전라남도 여수시 학동 100,여수시 시청로1 (학동),,34.7606245,127.6622273,"가정에서 나오는 깨끗한 재활용품을 가져오면 현금으로 전환할 수 있는 포인트를 드리는 여수 ""나눔행복"" 자원순환 가게입니다.
모인 자원은 100% 재활용을 목표로 하며,
기후위기 대응 및 순환경제(자원순환) 활성화에 기여합니다.","단체 이용 가능, 예약, 대기공간","공영주차장 이용가능
(무료 1시간)","10:00~12:00
14:00~16:00
(2, 4주)",휴무,휴무,휴무,휴무,휴무,휴무,휴무,전체휴무,전체휴무,,,,여수시 자원순환과(061-659-3839),061-659-3839,여수시 자원순환과,,,,"여수시 ""나눔 행복"" 자원순환가게 ,재활용품 보상,플라스틱,비닐,캔,분리배출,자원순환,순환경제,재활용","(플리스틱류)
무색페트병
유색PET
other
PE
PP
PS
(비닐류)
비닐
(캔류)
알루미늄
철캔
투명, 갈색,녹색병
(중고의류)
의류
외류 외(가방, 신발)
(종이류)
종이팩
서적
일반종이","품목 및 단가 변경 가능
근로자의 날 등 공휴일(임시공휴일 포함)은 휴무"
173,거북선공원,여수시,전라남도 여수시 학동 162,여수시 거북선공원2길 10,,34.7613225,127.6667422,"가정에서 나오는 깨끗한 재활용품을 가져오면 현금으로 전환할 수 있는 포인트를 드리는 여수 ""나눔행복"" 자원순환 가게입니다.
모인 자원은 105% 재활용을 목표로 하며,
기후위기 대응 및 순환경제(자원순환) 활성화에 기여합니다.","단체 이용 가능, 예약",,휴무,휴무,"10:00~12:00
14:00~16:00
(1,3,5주)",휴무,휴무,휴무,휴무,휴무,전체휴무,전체휴무,,,,여수시 자원순환과(061-659-3844),061-659-3839,여수시 자원순환과,,,,"여수시 ""나눔 행복"" 자원순환가게 ,재활용품 보상,플라스틱,비닐,캔,분리배출,자원순환,순환경제,재활용","(플리스틱류)
무색페트병
유색PET
other
PE
PP
PS
(비닐류)
비닐
(캔류)
알루미늄
철캔
투명, 갈색,녹색병
(중고의류)
의류
외류 외(가방, 신발)
(종이류)
종이팩
서적
일반종이","품목 및 단가 변경 가능
근로자의 날 등 공휴일(임시공휴일 포함)은 휴무"
174,무선-성산공원,여수시,전라남도 여수시 화장동 949,여수시 화산로 89,,34.7745091,127.6457508,"가정에서 나오는 깨끗한 재활용품을 가져오면 현금으로 전환할 수 있는 포인트를 드리는 여수 ""나눔행복"" 자원순환 가게입니다.
모인 자원은 102% 재활용을 목표로 하며,
기후위기 대응 및 순환경제(자원순환) 활성화에 기여합니다.","단체 이용 가능, 예약",주차가능,휴무,"10:00~12:00
14:00~16:00
(2, 4주)",휴무,휴무,휴무,휴무,휴무,휴무,전체휴무,전체휴무,,,,여수시 자원순환과(061-659-3841),061-659-3839,여수시 자원순환과,,,,"여수시 ""나눔 행복"" 자원순환가게 ,재활용품 보상,플라스틱,비닐,캔,분리배출,자원순환,순환경제,재활용","(플리스틱류)
무색페트병
유색PET
other
PE
PP
PS
(비닐류)
비닐
(캔류)
알루미늄
철캔
투명, 갈색,녹색병
(중고의류)
의류
외류 외(가방, 신발)
(종이류)
종이팩
서적
일반종이","품목 및 단가 변경 가능
근로자의 날 등 공휴일(임시공휴일 포함)은 휴무"
175,땅끝희망이 화산자원순환가게,해남군,전라남도 해남군 방축리 383-3,전라남도 해남군 화산면 화산초길 6-1,구(舊) 화산면사무소 부근,34.491267,126.5157484,"? 찾아가는 주민참여형 자원순환사업 “땅끝희망이”
  - 깨끗한 재활용품(5종 17품목)을 가져오면 무게를 측정한 후 
     품목별 단가를 적용하여 포인트 적립 후 현금 지급
  - 자원관리사: 9명(기간제) / 3조 운영(조별 3명)
  - 운영장소: 
   · 상    시: 자원순환복합센터(월~토, 09:00 ~ 18:00)
   · 순    회: 13개 면사무소(월~금, 오전·후 4시간씩)
",단체 이용 가능,구(舊) 화산면사무소 부근,휴무,14:00 ~ 16:00,휴무,휴무,휴무,휴무,휴무,휴무,전체휴무,전체휴무,,,,해남군 환경과 (061-530-5069),061-531-3063,해남군 환경과,061-531-3063,,화산면,"해남군, 자원순환, 땅끝희망이, 자원순환가게, 재활용품 보상, 플라스틱, 비닐, 캔, 분리배출, 재활용","(플라스틱류(뚜껑 포함))
투명PET
유색혼합PET
PE
PP
판PET
OTHER
빨대
(캔류)
알루미늄 캔
철 캔
(중고의류)
의류
의류 외
(종이류)
종이팩
서적
(비닐류)
비닐
PE비닐","품목 및 단가 변경 가능
근로자의 날 등 공휴일(임시공휴일 포함)은 휴무"
